PFAM_NAME	PFAM_ACC	PFAM_DESC	IS_DUF
ACCA	PF03255	Acetyl co-enzyme A carboxylase carboxyltransferase-like	0
ACCA_BT	PF21385	Acetyl-CoA carboxylase, BT domain	0
ACC_central	PF08326	Acetyl-CoA carboxylase, central region	0
ACC_epsilon	PF13822	Acyl-CoA carboxylase epsilon subunit	0
ACD	PF16671	Actin cross-linking domain	0
ACDC	PF14733	AP2-coincident C-terminal	0
ACDH-11_C	PF22217	Acyl-CoA dehydrogenase 11 C-terminal domain-like	0
ACDH_C	PF09317	Acyl-CoA dehydrogenase, C-terminal, bacterial type	0
ACE1_beta	PF28347	ACE1 small beta sheet domain	0
ACE1_N	PF28329	Zinc finger transcription factor ace1 N-terminal domain	0
AceES-2	PF21556	Excretory-secretory protein 2	0
AceK_kinase	PF06315	Isocitrate dehydrogenase kinase/phosphatase (AceK) kinase domain	0
AceK_regulatory	PF20423	Isocitrate dehydrogenase kinase/phosphatase (AceK), regulatory domain	0
Acetate_kinase	PF00871	Acetokinase family	0
AcetDehyd-dimer	PF09290	Prokaryotic acetaldehyde dehydrogenase, dimerisation	0
Acetone_carb_G	PF08882	Acetone carboxylase gamma subunit	0
AcetylCoA_hydro	PF02550	Acetyl-CoA hydrolase/transferase N-terminal domain	0
AcetylCoA_hyd_C	PF13336	Acetyl-CoA hydrolase/transferase C-terminal domain	0
Acetyltransf_1	PF00583	Acetyltransferase (GNAT) family	0
Acetyltransf_10	PF13673	Acetyltransferase (GNAT) domain	0
Acetyltransf_11	PF13720	Udp N-acetylglucosamine O-acyltransferase; Domain 2	0
Acetyltransf_13	PF13880	ESCO1/2 acetyl-transferase	0
Acetyltransf_14	PF03421	YopJ Serine/Threonine acetyltransferase	0
Acetyltransf_15	PF17013	Putative acetyl-transferase	0
Acetyltransf_16	PF05301	GNAT acetyltransferase, Mec-17	0
Acetyltransf_17	PF17668	Acetyltransferase (GNAT) domain	0
Acetyltransf_18	PF18014	Acetyltransferase (GNAT) domain	0
Acetyltransf_19	PF18015	Acetyltransferase (GNAT) domain	0
Acetyltransf_2	PF00797	N-acetyltransferase	0
Acetyltransf_3	PF13302	Acetyltransferase (GNAT) domain	0
Acetyltransf_4	PF13420	Acetyltransferase (GNAT) domain	0
Acetyltransf_5	PF13444	Acetyltransferase (GNAT) domain	0
Acetyltransf_6	PF13480	Acetyltransferase (GNAT) domain	0
Acetyltransf_7	PF13508	Acetyltransferase (GNAT) domain	0
Acetyltransf_8	PF13523	Acetyltransferase (GNAT) domain	0
Acetyltransf_9	PF13527	Acetyltransferase (GNAT) domain	0
Acetyltransf_CG	PF14542	GCN5-related N-acetyl-transferase	0
AcfD_helical	PF26759	AcfD helical domain	0
AChE_tetra	PF08674	Acetylcholinesterase tetramerisation domain	0
ACI44	PF15270	Metallo-carboxypeptidase inhibitor	0
Acid_phosphat_B	PF03767	HAD superfamily, subfamily IIIB (Acid phosphatase)	0
Acid_PPase	PF12689	Acid Phosphatase	0
AciT	PF28205	Ciprofloxacin tolerance protein	0
AclK_C	PF28338	AclK C-terminal domain	0
ACL_Hsps-like	PF26144	Hsps-like alpha-crystallin-like domain	0
AcMNPV_Ac109	PF05054	Autographa californica nuclear polyhedrosis virus (AcMNPV) protein	0
AcMNPV_AC11	PF07138	Baculovirus protein AC11	0
AcMNPV_Ac75	PF06648	Autographa californica nuclear polyhedrosis virus (AcMNPV), Ac75	0
AcMNPV_Orf101	PF05815	Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf101	0
AcMNPV_Orf17	PF06856	Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf17	0
AcMNPV_Orf18	PF07134	Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf18	0
AcMNPV_P18	PF05081	Autographa californica nuclear polyhedrosis virus (AcMNPV), P18	0
AcnX	PF04412	Aconitase X first domain	0
AcnX_2nd	PF28403	Aconitase X second domain	0
AcnX_3rd	PF28406	Aconitase X third domain	0
AcnX_swivel_put	PF01989	Aconitase X swivel domain	0
Aconitase	PF00330	Aconitase family (aconitate hydratase)	0
Aconitase_2_N	PF06434	Aconitate hydratase 2 N-terminus	0
Aconitase_B_N	PF11791	Aconitate B N-terminal domain	0
Aconitase_C	PF00694	Aconitase C-terminal domain	0
ACOX	PF01756	Acyl-CoA oxidase	0
ACOX_C_alpha1	PF22924	Acyl-CoA oxidase, C-alpha1 domain	0
ACP	PF06857	Malonate decarboxylase delta subunit (MdcD)	0
Acp26Ab	PF05777	Drosophila accessory gland-specific peptide 26Ab (Acp26Ab)	0
ACP53EA	PF06313	Drosophila ACP53EA protein	0
ACPS	PF01648	4'-phosphopantetheinyl transferase superfamily	0
ACP_PD	PF04336	Acyl carrier protein phosphodiesterase	0
ACP_SdgA_C	PF23297	Highly reducing polyketide synthase sdgA, C-terminal ACP domain	0
ACP_syn_III	PF08545	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	0
ACP_syn_III_C	PF08541	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	0
ACR10_N	PF24914	ACT domain-containing protein ACR10, N-terminal	0
Acr30-35_AcrF1	PF20829	Anti-CRISPR protein Acr30-35/AcrF1	0
AcrF2	PF25704	Anti-CRISPR protein AcrF2 protein	0
AcrF3	PF21401	Cas3 inhibitor AcrF3	0
AcrF31	PF25703	Anti-CRISPR protein F31	0
AcrF8	PF25699	Anti-CRISPR protein AcrF8	0
AcrIC5	PF22147	Anti-CRISPR protein AcrIC5	0
AcrIE3-like	PF28100	Anti-CRISPR type I subtype E3-like	0
AcrIF11_ADP_ribosyl	PF26151	Anti-CRISPR Type I-F ADP-ribosyltransferase AcrIF11	0
AcrIIA4	PF24304	Anti-CRISPR Suppressor AcrIIA4	0
AcrIIA6	PF28149	Anti-CRISPR type II subtype A6-like	0
AcrVA2-like	PF26125	Anti-CRISPR type V subtype A2 family	0
AcrZ	PF10766	Multidrug efflux pump-associated protein AcrZ	0
ACR_tran	PF00873	AcrB/AcrD/AcrF family	0
ACS_CODH_B_C	PF19436	ACS/CODH beta subunit C-terminal	0
ACT	PF01842	ACT domain	0
Act-Frag_cataly	PF09192	Actin-fragmin kinase, catalytic	0
ACT-like	PF28342	Fungal ACT-like domain	0
ActA	PF05058	ActA Protein	0
ActD	PF11821	Alternative complex III, ActD subunit	0
ACTH_domain	PF00976	Corticotropin ACTH domain	0
Actin	PF00022	Actin	0
Actino_peptide	PF14408	Ribosomally synthesised peptide in actinomycetes	0
Actin_micro	PF17003	Putative actin-like family	0
Activator-TraM	PF11657	Transcriptional activator TraM	0
Activator_LAG-3	PF11498	Transcriptional activator LAG-3	0
Activin_recp	PF01064	Activin types I and II receptor domain	0
ACTL7A_N	PF16840	Actin-like protein 7A N-terminus	0
ACTMAP-like_C	PF21646	Actin maturation protease-like, C-terminal domain	0
ACT_10	PF26798	ACT domain	0
ACT_11	PF26946	ACT-like domain	0
ACT_12	PF26954	ACT-like domain	0
ACT_13	PF26955	ACT-like domain	0
